batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
TJ Friedl,670770,1,2024–2025,0.0,0,0.422,0.0,0.2,78.4
Tyler Stephenson,663886,5,2024–2026,0.2,1,0.278,0.333,0.364,83.1
Elly De La Cruz,682829,5,2024–2025,0.2,0,0.22,0.75,0.5,93.0
Matt McLain,680574,2,2025,0.0,0,0.192,1.0,0.25,107.4
Ke'Bryan Hayes,663647,2,2025,0.0,0,0.128,0.0,0.0,50.7
Dane Myers,667472,1,2026,0.0,0,,1.0,0.0,96.2
JJ Bleday,668709,1,2026,0.0,0,,0.0,0.0,85.0
Noelvi Marte,682622,1,2026,0.0,0,,0.0,0.667,85.6
