batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Starling Marte,516782,2,2022,1.0,0,0.578,1.0,0.125,101.8
Isaac Collins,686555,3,2025,0.333,0,0.534,1.0,0.0,101.4
Bobby Witt Jr.,677951,11,2023–2025,0.364,0,0.397,0.4,0.261,94.3
Vinnie Pasquantino,686469,6,2024–2025,0.167,0,0.342,0.5,0.062,90.4
Maikel Garcia,672580,11,2023–2025,0.0,0,0.305,0.7,0.185,97.8
Jac Caglianone,695506,2,2025,0.0,0,0.29,0.0,0.25,91.3
Salvador Perez,521692,6,2024–2025,0.0,0,0.224,0.4,0.231,86.7
Nick Loftin,679845,3,2024,0.0,0,0.138,0.333,0.0,73.1
Kyle Isbel,664728,5,2023–2025,0.4,0,0.129,0.4,0.25,78.7
Lane Thomas,657041,3,2022,0.333,0,0.103,0.5,0.167,94.5
Michael Massey,686681,4,2023–2024,0.0,0,0.096,0.0,0.4,78.6
