batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Michael Harris II,671739,3,2024–2026,0.667,0,0.758,0.8,0.0,98.5
Mauricio Dubón,643289,0,2026,,0,0.698,,0.0,
Jorge Mateo,622761,2,2026,0.0,0,0.43,1.0,0.5,100.6
Austin Riley,663586,3,2024–2026,0.0,0,0.295,0.0,0.308,71.0
Ronald Acuña Jr.,660670,3,2024,0.0,0,0.198,0.0,0.6,85.9
Joey Bart,663698,2,2024,0.0,0,0.193,0.0,0.4,81.2
Ozzie Albies,645277,5,2024–2026,0.2,1,0.184,0.5,0.133,95.1
Matt Olson,621566,4,2024–2026,0.0,0,0.14,,0.4,
Dominic Smith,642086,2,2026,0.0,0,0.089,1.0,0.5,96.9
Drake Baldwin,686948,2,2026,0.0,0,0.048,0.0,0.0,89.7
Mike Yastrzemski,573262,4,2024–2026,0.0,0,0.002,1.0,0.556,96.4
