batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Kyle Schwarber,656941,10,2018–2025,0.2,1,0.586,0.615,0.27,100.3
Bryce Harper,547180,13,2022–2025,0.385,1,0.49,0.667,0.241,93.1
Derek Hill,656537,3,2024,0.333,0,0.371,0.333,0.0,90.7
Bryson Stott,681082,9,2022–2025,0.444,1,0.356,0.25,0.074,81.0
J.T. Realmuto,592663,12,2022–2025,0.083,0,0.33,0.667,0.333,94.7
Alec Bohm,664761,12,2022–2025,0.167,1,0.324,0.462,0.154,93.9
Trea Turner,607208,15,2022–2025,0.267,1,0.317,0.353,0.345,92.5
Edmundo Sosa,624641,11,2023–2025,0.273,0,0.251,0.3,0.3,88.3
Brandon Marsh,669016,3,2022–2024,0.0,0,0.188,0.0,0.286,65.6
Garrett Stubbs,596117,2,2024,0.5,0,0.166,0.0,0.0,61.6
