batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jake Burger,669394,2,2026,0.5,0,0.457,0.5,0.4,99.6
Nicky Lopez,670032,1,2026,0.0,0,0.42,0.0,0.0,89.9
Brandon Nimmo,607043,2,2026,0.0,0,0.314,1.0,0.111,96.6
Elias Díaz,553869,2,2026,0.5,0,0.202,0.5,0.0,91.2
Justin Foscue,679822,2,2026,0.0,0,0.035,0.0,0.0,75.5
Ezequiel Duran,677649,2,2026,0.0,0,0.01,0.0,0.0,87.2
Wyatt Langford,694671,2,2026,0.0,0,0.002,0.0,0.5,72.9
Cam Cauley,695508,1,2026,0.0,0,0.0,,1.0,
