batter_name,batter_id,pa,pitches_seen,seasons,xwoba,barrel_rate,avg_exit_velo,whiff_pct,hard_hit_pct
Yandy Díaz,650490,6,30,2020–2021,0.632,,99.1,0.125,0.667
Cedric Mullins,656775,6,25,2021,0.489,,85.1,0.25,0.333
