batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
José Ramírez,608070,9,2021–2026,0.222,0,0.4,0.6,0.296,96.1
Steven Kwan,680757,8,2022–2026,0.5,0,0.326,0.125,0.143,87.6
Austin Hedges,595978,7,2021–2024,0.286,1,0.304,0.5,0.368,94.5
David Fry,681807,5,2024–2026,0.2,0,0.285,0.0,0.286,86.2
Brayan Rocchio,677587,6,2024–2025,0.167,0,0.059,0.0,0.429,62.4
Daniel Schneemann,682177,3,2025–2026,0.0,0,0.0,1.0,0.286,97.4
Patrick Bailey,672275,1,2025,0.0,0,0.0,,1.0,
Chase DeLauter,800050,2,2026,0.0,0,,1.0,0.0,99.8
Kyle Manzardo,700932,3,2025–2026,0.333,0,,0.0,0.0,87.8
Petey Halpin,690984,1,2026,0.0,0,,,1.0,
Rhys Hoskins,656555,2,2026,0.0,0,,,0.8,
