batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jorge Soler,624585,11,2023–2026,0.273,1,0.315,0.333,0.25,89.3
Nolan Schanuel,694384,2,2024,0.0,0,0.299,0.0,0.143,49.9
Jo Adell,666176,5,2022–2026,0.0,0,0.272,0.5,0.333,93.1
Tyler Heineman,623168,6,2022–2025,0.5,0,0.252,0.0,0.0,67.9
Zach Neto,687263,4,2024–2026,0.0,0,0.23,0.0,0.4,87.2
Oswald Peraza,672724,6,2023–2026,0.0,0,0.21,0.0,0.455,83.5
Vaughn Grissom,687093,5,2024–2026,0.2,0,0.21,0.4,0.111,81.7
Mike Trout,545361,4,2023–2026,0.0,0,0.133,0.25,0.333,82.8
Jose Siri,642350,3,2025–2026,0.0,0,0.002,0.0,0.667,90.3
Logan O'Hoppe,681351,2,2023,0.0,0,0.0,,0.667,
