batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Josh Naylor,647304,2,2025–2026,1.0,0,0.632,0.5,0.0,84.6
Julio Rodríguez,677594,1,2025,0.0,0,0.622,1.0,0.0,97.7
Cal Raleigh,663728,2,2025–2026,0.5,0,0.515,0.0,0.182,84.1
Cole Young,702284,2,2025–2026,0.5,0,0.452,0.5,0.0,98.2
Weston Wilson,642215,2,2026,0.5,1,0.43,1.0,0.333,101.1
Taylor Ward,621493,2,2025–2026,0.0,0,0.158,0.5,0.0,97.2
Victor Robles,645302,1,2026,0.0,0,0.13,0.0,0.5,92.4
Randy Arozarena,668227,3,2025–2026,0.0,0,0.116,0.0,0.286,90.2
Dominic Canzone,686527,1,2025,0.0,0,0.0,0.0,0.0,86.9
