batter_name,batter_id,pa,pitches_seen,seasons,xwoba,barrel_rate,avg_exit_velo,whiff_pct,hard_hit_pct
Jake Burger,669394,3,9,2025,0.688,,98.9,0.0,1.0
Wyatt Langford,694671,5,25,2025,0.565,,80.1,0.0,0.0
Kyle Higashioka,543309,6,29,2025,0.339,,94.0,0.091,0.333
Josh Smith,669701,5,28,2025,0.335,,89.2,0.0,0.333
Josh Jung,673962,5,19,2025,0.257,,90.8,0.3,0.5
Corey Seager,608369,3,12,2025,0.065,,98.2,0.143,1.0
Danny Jansen,643376,1,4,2025,0.0,,,1.0,
