batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Vladimir Guerrero Jr.,665489,6,2020–2025,0.0,0,0.489,0.667,0.0,99.8
Ernie Clement,676391,3,2024–2025,0.333,0,0.396,0.333,0.0,82.8
Luis Urías,649966,6,2022–2025,0.333,0,0.339,0.5,0.0,86.6
Alejandro Kirk,672386,5,2024–2025,0.4,0,0.305,0.4,0.0,89.9
Andrés Giménez,665926,2,2025,0.0,0,0.268,0.0,0.2,89.6
Davis Schneider,676914,4,2024–2025,0.25,0,0.259,0.5,0.444,89.0
Myles Straw,664702,4,2019–2025,0.5,0,0.224,0.5,0.364,97.3
George Springer,543807,4,2020–2024,0.25,0,0.16,0.333,0.429,90.8
Jesús Sánchez,660821,5,2022–2025,0.0,0,0.159,0.5,0.375,90.0
Josh Smith,669701,2,2022,0.0,0,0.044,0.0,0.333,90.0
