batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Scott Kingery,664068,1,2019,1.0,0,0.839,1.0,0.333,105.1
Moisés Ballesteros,694208,2,2025,0.5,0,0.464,0.0,0.25,82.6
Pete Crow-Armstrong,691718,13,2024–2025,0.385,1,0.442,0.533,0.176,85.4
Michael Busch,683737,16,2023–2025,0.125,2,0.331,0.364,0.26,93.4
Alex Bregman,608324,5,2019–2024,0.4,0,0.309,0.25,0.143,85.8
Michael Conforto,624424,9,2021–2025,0.444,1,0.302,0.2,0.211,80.4
Ian Happ,664023,26,2019–2025,0.115,3,0.28,0.217,0.318,86.6
Matt Shaw,807713,5,2025,0.2,0,0.27,0.0,0.25,79.4
Nico Hoerner,663538,24,2020–2025,0.167,1,0.262,0.333,0.227,84.0
Dansby Swanson,621020,18,2018–2025,0.056,1,0.242,0.385,0.391,88.1
Seiya Suzuki,673548,20,2022–2025,0.15,1,0.233,0.385,0.369,93.9
Carson Kelly,608348,14,2019–2025,0.143,0,0.194,0.444,0.3,92.1
Miguel Amaya,665804,6,2024–2025,0.167,0,0.187,0.2,0.263,75.3
