batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jose Altuve,514888,40,2021–2026,0.375,2,0.406,0.312,0.253,89.4
Nelson Velázquez,676369,5,2023–2024,0.2,1,0.322,1.0,0.455,105.2
Yainer Diaz,673237,19,2023–2026,0.211,2,0.308,0.4,0.37,89.6
Yordan Alvarez,670541,31,2021–2026,0.258,1,0.307,0.524,0.379,91.9
Daulton Varsho,662139,12,2023–2026,0.167,0,0.294,0.545,0.059,93.5
Christian Walker,572233,14,2023–2026,0.214,1,0.272,0.625,0.367,96.3
Jeremy Peña,665161,25,2022–2025,0.04,0,0.255,0.35,0.333,83.6
LaMonte Wade Jr.,664774,6,2023–2025,0.333,0,0.223,0.0,0.222,91.0
Christian Vázquez,543877,4,2021–2024,0.25,0,0.22,0.25,0.111,75.5
Nick Allen,669397,16,2022–2026,0.25,0,0.193,0.133,0.179,75.3
Isaac Paredes,670623,9,2025–2026,0.111,0,0.152,0.143,0.3,78.0
Cam Smith,701358,3,2026,0.0,0,0.05,0.0,0.2,78.0
Taylor Trammell,666211,2,2026,0.0,0,0.0,,0.75,
