batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jake McCarthy,664983,10,2022–2026,0.3,0,0.425,0.1,0.053,80.3
Ezequiel Tovar,678662,11,2023–2026,0.455,1,0.336,0.222,0.13,86.0
Cole Carrigg,694249,3,2026,0.667,0,0.295,0.667,0.125,94.4
Jordan Beck,687597,3,2025,0.333,0,0.245,0.0,0.0,85.8
Willi Castro,650489,7,2021–2026,0.429,0,0.215,0.5,0.2,87.9
Braxton Fulford,690924,3,2025–2026,0.0,0,0.203,0.0,0.0,74.9
TJ Rumfield,681198,3,2026,0.0,0,0.078,0.333,0.0,90.0
Troy Johnston,687859,5,2026,0.0,0,0.027,0.0,0.2,82.1
