batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jose Siri,642350,4,2022–2025,0.75,0,0.573,0.667,0.375,98.3
Oswald Peraza,672724,4,2023–2026,0.5,0,0.459,0.5,0.0,83.7
Mike Trout,545361,9,2022–2026,0.333,0,0.367,0.25,0.167,82.8
Josh Lowe,666139,3,2023–2025,0.0,0,0.33,0.0,0.222,89.7
Wade Meckler,685133,1,2026,1.0,0,0.29,0.0,0.0,27.5
Zach Neto,687263,7,2023–2026,0.143,0,0.279,0.333,0.182,88.5
Adam Frazier,624428,17,2019–2025,0.235,0,0.256,0.2,0.206,85.9
Nolan Schanuel,694384,10,2023–2026,0.2,0,0.235,0.429,0.143,89.8
Travis d'Arnaud,518595,2,2019,0.5,0,0.174,0.0,0.25,80.4
