batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Ronald Acuña Jr.,660670,5,2022–2023,0.4,1,0.603,0.714,0.143,102.6
Ozzie Albies,645277,5,2021–2023,0.8,0,0.54,0.2,0.154,88.8
Michael Harris II,671739,5,2022–2023,0.4,1,0.47,0.4,0.364,81.8
Jorge Mateo,622761,2,2023,0.5,0,0.448,1.0,0.0,106.2
Austin Riley,663586,7,2021–2023,0.0,0,0.343,0.75,0.45,97.2
Dominic Smith,642086,7,2021–2023,0.429,0,0.325,0.125,0.0,85.1
Ha-Seong Kim,673490,7,2021–2024,0.143,1,0.32,0.6,0.167,93.1
Matt Olson,621566,9,2022–2023,0.0,0,0.126,0.375,0.062,88.8
Mauricio Dubón,643289,2,2022–2023,0.0,0,0.094,0.0,0.167,74.2
Mike Yastrzemski,573262,2,2022,0.0,0,0.0,,0.5,
