batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Christian Koss,683766,2,2025,0.5,0,0.444,1.0,0.75,98.3
Eric Haase,606992,5,2021–2022,0.2,0,0.385,0.5,0.111,87.5
Rafael Devers,646240,9,2022–2025,0.222,0,0.365,0.571,0.324,98.0
Willy Adames,642715,5,2023–2025,0.0,0,0.336,0.2,0.143,81.0
Luis Arraez,650333,17,2019–2023,0.118,0,0.199,0.182,0.07,85.8
Matt Chapman,656305,6,2022–2024,0.167,0,0.183,0.333,0.308,92.4
Heliot Ramos,671218,10,2023–2025,0.1,0,0.167,0.571,0.368,91.7
Jung Hoo Lee,808982,2,2025,0.0,0,0.054,0.0,0.0,76.8
