batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Masataka Yoshida,807799,6,2023–2025,0.667,1,0.551,0.667,0.0,96.2
Ceddanne Rafaela,678882,3,2025,0.667,0,0.51,0.333,0.4,91.5
Wilyer Abreu,677800,2,2025,0.5,0,0.466,0.5,0.0,85.8
Isiah Kiner-Falefa,643396,10,2022–2025,0.4,0,0.341,0.444,0.087,87.3
Carlos Narváez,665966,2,2025,0.0,0,0.254,0.0,0.333,93.1
Willson Contreras,575929,13,2017–2024,0.154,0,0.19,0.222,0.474,82.9
Caleb Durbin,702332,2,2025,0.0,0,0.188,0.0,0.0,84.0
Andruw Monasterio,655316,4,2023–2025,0.25,0,0.164,0.25,0.1,86.8
Jarren Duran,680776,6,2023–2025,0.167,1,0.135,0.333,0.235,83.5
