batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Charles McAdoo,807727,3,2026,0.0,0,0.592,0.667,0.25,92.5
Josh Smith,669701,1,2022,1.0,0,0.504,0.0,0.333,86.4
Kazuma Okamoto,672960,4,2026,0.5,0,0.441,0.0,0.5,84.3
Andrés Giménez,665926,5,2022–2026,0.4,0,0.432,0.25,0.182,80.8
Alejandro Kirk,672386,10,2022–2023,0.5,0,0.403,0.7,0.059,93.2
George Springer,543807,20,2022–2026,0.4,1,0.386,0.444,0.054,88.8
Vladimir Guerrero Jr.,665489,24,2022–2026,0.25,1,0.312,0.409,0.149,87.9
Myles Straw,664702,3,2022–2026,0.0,0,0.201,0.0,0.0,82.7
Nathan Lukes,664770,6,2026,0.333,0,0.196,0.0,0.333,81.4
Brandon Valenzuela,678218,5,2026,0.4,0,0.166,0.25,0.333,91.8
Ernie Clement,676391,7,2024–2026,0.286,1,0.109,0.143,0.067,79.8
