batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Steven Kwan,680757,3,2025–2026,0.333,0,0.514,0.0,0.2,90.2
Angel Martínez,682657,2,2025–2026,0.0,0,0.426,0.5,0.0,93.5
Angel Genao,694197,1,2026,0.0,0,0.401,1.0,0.0,95.3
Brayan Rocchio,677587,1,2026,0.0,0,0.387,1.0,0.0,97.4
David Fry,681807,1,2026,0.0,0,0.365,0.0,0.333,75.3
Travis Bazzana,683953,3,2026,0.333,0,0.335,0.0,0.111,82.7
Patrick Bailey,672275,2,2025–2026,0.5,0,0.318,0.5,0.167,91.2
Daniel Schneemann,682177,2,2025,0.0,0,0.192,0.0,0.667,84.6
José Ramírez,608070,2,2025–2026,0.5,0,0.142,0.0,0.0,91.4
Nathaniel Lowe,663993,5,2023–2026,0.0,0,0.069,0.333,0.214,82.8
Chase DeLauter,800050,4,2026,0.0,0,0.054,0.5,0.143,74.8
Austin Hedges,595978,2,2023–2026,0.0,0,0.0,0.0,0.5,80.8
Jo Adell,666176,1,2025,0.0,0,0.0,,0.333,
