batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jorge Soler,624585,11,2021–2025,0.182,1,0.357,0.364,0.385,86.5
Logan O'Hoppe,681351,7,2024–2025,0.429,1,0.33,0.167,0.25,79.2
Adam Frazier,624428,5,2024–2025,0.0,0,0.298,0.25,0.056,86.9
Mike Trout,545361,2,2025,0.0,0,0.282,0.0,0.4,69.3
Donovan Walton,622268,3,2021,0.0,0,0.241,0.5,0.0,96.6
Nolan Schanuel,694384,7,2024–2025,0.429,1,0.22,0.375,0.125,91.8
Zach Neto,687263,7,2024–2025,0.143,0,0.188,0.571,0.267,87.4
Jo Adell,666176,9,2021–2025,0.0,0,0.129,0.143,0.2,80.2
Jose Siri,642350,3,2024,0.0,0,0.0,0.5,0.333,84.6
