batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Oswaldo Cabrera,665828,0,2023,,0,0.696,,0.5,
Ke'Bryan Hayes,663647,2,2025,0.5,0,0.436,0.5,0.0,91.6
Sal Stewart,701398,3,2026,0.0,0,0.39,0.333,0.0,95.8
Eugenio Suárez,553993,9,2023–2026,0.222,1,0.352,0.25,0.3,84.0
Matt McLain,680574,6,2023–2026,0.5,0,0.344,0.5,0.0,95.3
Tyler Stephenson,663886,2,2024,0.0,0,0.338,0.0,0.333,85.6
JJ Bleday,668709,11,2023–2025,0.182,1,0.291,0.444,0.19,89.0
Elly De La Cruz,682829,8,2023–2026,0.125,0,0.29,0.0,0.467,83.2
