batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Rob Refsnyder,608701,9,2021–2025,0.333,2,0.585,0.375,0.0,92.0
Mitch Garver,641598,9,2022–2025,0.111,0,0.401,0.5,0.25,96.0
Josh Naylor,647304,3,2025,0.333,0,0.392,1.0,0.75,103.6
Randy Arozarena,668227,9,2024–2025,0.222,1,0.382,0.333,0.25,86.9
Julio Rodríguez,677594,14,2022–2025,0.286,2,0.365,0.75,0.464,97.1
J.P. Crawford,641487,11,2019–2025,0.091,0,0.332,0.5,0.25,88.1
Dominic Canzone,686527,2,2025,0.0,0,0.292,1.0,0.0,97.8
Victor Robles,645302,8,2020–2025,0.125,0,0.291,0.333,0.462,78.4
Cole Young,702284,2,2025,0.0,0,0.152,0.0,0.0,82.1
