batter_name,batter_id,pa,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Vinnie Pasquantino,686469,5,2024–2025,0.5,1,0.482,0.5,0.0,100.1
Salvador Perez,521692,5,2024–2025,0.6,0,0.399,0.6,0.1,94.5
Michael Massey,686681,5,2024–2025,0.2,0,0.398,0.6,0.0,91.1
Jonathan India,663697,3,2025,0.0,0,0.362,0.333,0.333,84.3
Bobby Witt Jr.,677951,6,2024–2025,0.2,0,0.34,0.667,0.286,97.6
Maikel Garcia,672580,3,2024,0.333,0,0.241,0.333,0.0,92.9
Kyle Isbel,664728,5,2024–2025,0.2,0,0.119,0.0,0.0,72.2
Lane Thomas,657041,1,2024,0.0,0,0.056,0.0,0.0,72.8
