batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Ian Happ,664023,9,2023–2026,0.333,1,0.541,0.5,0.421,92.6
Alex Bregman,608324,3,2026,0.333,1,0.478,0.667,0.0,97.5
Miguel Amaya,665804,4,2024,0.25,1,0.469,0.333,0.333,94.6
Pete Crow-Armstrong,691718,9,2024–2026,0.333,1,0.42,0.667,0.083,94.8
Seiya Suzuki,673548,12,2023–2025,0.333,0,0.327,0.1,0.125,78.1
Michael Busch,683737,14,2024–2026,0.286,1,0.309,0.545,0.286,91.4
Nico Hoerner,663538,11,2023–2026,0.364,0,0.307,0.2,0.115,85.8
Dansby Swanson,621020,12,2023–2026,0.25,1,0.294,0.429,0.273,90.4
Carson Kelly,608348,6,2023–2026,0.167,0,0.287,0.25,0.3,82.2
Michael Conforto,624424,14,2023–2026,0.143,0,0.265,0.455,0.161,93.3
Tyrone Taylor,621438,14,2024–2026,0.143,0,0.222,0.182,0.174,86.1
