batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Dominic Smith,642086,3,2022–2026,0.333,0,0.473,0.5,0.3,95.2
Michael Harris II,671739,7,2024–2026,0.286,0,0.458,0.857,0.294,96.6
Drake Baldwin,686948,3,2025–2026,0.0,0,0.442,1.0,0.222,98.0
Mauricio Dubón,643289,3,2025–2026,0.333,0,0.436,0.5,0.4,92.2
Austin Riley,663586,9,2024–2026,0.333,1,0.403,0.8,0.417,98.9
Matt Olson,621566,9,2024–2026,0.111,1,0.337,0.5,0.2,92.9
Ozzie Albies,645277,8,2024–2026,0.375,0,0.25,0.125,0.167,85.3
Mike Yastrzemski,573262,2,2026,0.0,0,0.108,1.0,0.667,95.1
Ha-Seong Kim,673490,2,2024,0.0,0,0.0,,0.333,
