batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Ronald Acuña Jr.,660670,19,2017–2025,0.316,0,0.446,0.467,0.223,93.1
Michael Harris II,671739,14,2022–2025,0.357,1,0.378,0.429,0.2,88.1
Ha-Seong Kim,673490,11,2021–2023,0.091,0,0.278,0.1,0.125,76.9
Ozzie Albies,645277,31,2019–2025,0.323,1,0.276,0.452,0.202,90.0
Matt Olson,621566,19,2022–2025,0.105,0,0.243,0.625,0.349,94.0
Mike Yastrzemski,573262,14,2019–2023,0.214,0,0.231,0.467,0.265,90.6
Dominic Smith,642086,19,2018–2023,0.263,0,0.174,0.227,0.241,81.8
Austin Riley,663586,26,2019–2025,0.154,0,0.153,0.429,0.358,85.0
Mauricio Dubón,643289,3,2019,0.0,0,0.127,0.0,0.25,64.1
