batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Geraldo Perdomo,672695,2,2025,0.5,1,0.597,0.333,0.0,92.9
Gabriel Moreno,672515,5,2024–2025,0.4,0,0.429,0.333,0.0,86.6
Corbin Carroll,682998,4,2024–2025,0.25,0,0.425,1.0,0.4,107.5
Ketel Marte,606466,7,2024–2025,0.571,0,0.395,0.571,0.167,91.1
Nolan Arenado,571448,18,2023–2025,0.389,1,0.391,0.526,0.146,93.2
Ildemaro Vargas,545121,7,2023–2025,0.143,0,0.275,0.333,0.071,89.3
Jordan Lawlar,691783,4,2024–2026,0.25,0,,0.0,0.182,73.9
Jorge Barrosa,678489,0,2024,,0,,,1.0,
LuJames Groover,694410,1,2026,1.0,0,,1.0,0.2,102.6
Ryan Waldschmidt,814439,1,2026,0.0,0,,1.0,0.0,95.5
