batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Richie Palacios,680700,5,2026,0.4,0,0.431,0.2,0.0,78.6
Liam Hicks,689414,2,2025,0.5,0,0.362,1.0,0.5,99.2
Junior Caminero,691406,12,2025–2026,0.25,1,0.283,0.6,0.25,93.2
Chandler Simpson,802415,12,2025–2026,0.333,0,0.236,0.091,0.045,87.9
Cedric Mullins,656775,5,2026,0.2,0,0.22,0.667,0.3,95.8
Yandy Díaz,650490,11,2025–2026,0.091,0,0.21,0.167,0.281,84.4
Taylor Walls,670764,9,2025–2026,0.333,0,0.187,0.25,0.5,85.3
Jonathan Aranda,666018,8,2025–2026,0.125,0,0.167,0.5,0.5,94.8
Jonny DeLuca,676356,3,2026,0.333,0,0.142,0.333,0.0,79.2
Ben Williamson,810938,3,2025–2026,0.333,0,0.118,0.0,0.222,78.8
Nick Fortes,663743,3,2026,0.0,0,0.109,0.333,0.0,91.6
Ryan Vilade,668723,1,2026,1.0,0,,1.0,0.0,96.0
