batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Christian Walker,572233,4,2022–2026,0.25,0,0.454,0.667,0.083,89.9
Isaac Paredes,670623,4,2021–2026,0.5,0,0.415,0.6,0.091,91.3
Yordan Alvarez,670541,3,2026,0.333,0,0.334,1.0,0.0,97.7
Jeremy Peña,665161,3,2026,0.333,0,0.333,0.5,0.5,88.2
Yainer Diaz,673237,2,2026,0.0,0,0.275,0.0,0.25,75.2
Christian Vázquez,543877,11,2019–2024,0.182,0,0.198,0.4,0.222,95.2
Cam Smith,701358,3,2026,0.333,0,0.196,0.5,0.5,97.6
Raynel Delgado,669384,3,2026,0.333,0,0.195,0.333,0.333,84.9
Brice Matthews,694728,3,2026,0.0,0,0.136,0.5,0.0,90.6
Jose Altuve,514888,3,2026,0.0,0,0.037,0.0,0.0,89.2
