batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Carson Kelly,608348,3,2024–2025,0.333,0,0.703,0.75,0.286,97.8
Nico Hoerner,663538,10,2024–2025,0.3,0,0.398,0.417,0.105,87.9
Ian Happ,664023,8,2024–2025,0.125,0,0.393,0.857,0.548,97.7
Michael Busch,683737,12,2024–2025,0.25,1,0.393,0.625,0.258,95.4
Dansby Swanson,621020,7,2024–2025,0.286,1,0.332,0.4,0.2,84.8
Seiya Suzuki,673548,12,2024–2025,0.25,1,0.273,0.375,0.321,82.7
Pete Crow-Armstrong,691718,11,2024–2025,0.273,0,0.27,0.125,0.464,80.6
Miguel Amaya,665804,4,2024–2025,0.0,0,0.192,0.333,0.091,92.8
Alex Bregman,608324,5,2024–2025,0.2,0,0.102,0.0,0.111,79.2
Moisés Ballesteros,694208,2,2025,0.5,0,0.07,1.0,0.2,103.1
Michael Conforto,624424,4,2025,0.0,0,0.0,,0.231,
