batter_name,batter_id,pa,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Brayan Rocchio,677587,2,2025,0.5,0,0.468,0.0,0.25,58.8
Daniel Schneemann,682177,2,2025,0.5,0,0.431,1.0,0.5,102.0
Kyle Manzardo,700932,6,2025,0.2,0,0.372,0.25,0.333,79.4
Steven Kwan,680757,6,2025,0.333,0,0.327,0.167,0.0,88.9
José Ramírez,608070,6,2025,0.2,0,0.286,0.0,0.455,68.4
David Fry,681807,3,2025,0.0,0,0.232,0.0,0.455,90.8
Bo Naylor,666310,4,2025,0.0,0,0.157,0.5,0.375,100.1
George Valera,671655,3,2025,0.0,0,0.005,1.0,0.5,96.0
Angel Martínez,682657,2,2025,0.0,0,0.0,,0.5,
