batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Moisés Ballesteros,694208,3,2026,0.667,1,0.571,1.0,0.5,104.6
Ian Happ,664023,2,2026,0.0,0,0.519,0.5,0.167,97.7
Nico Hoerner,663538,3,2026,0.333,0,0.485,0.333,0.0,91.5
Carson Kelly,608348,2,2026,0.5,0,0.46,0.5,0.0,85.1
Dansby Swanson,621020,2,2026,0.5,1,0.446,0.5,0.333,91.1
Alex Bregman,608324,1,2026,0.0,0,0.273,0.0,0.0,73.8
Michael Conforto,624424,2,2025,0.0,0,0.054,0.0,0.5,92.4
Seiya Suzuki,673548,3,2026,0.0,0,0.041,0.5,0.429,94.6
Pete Crow-Armstrong,691718,2,2026,0.0,0,0.039,0.5,0.25,87.7
