batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Xander Bogaerts,593428,12,2023–2025,0.417,3,0.514,0.455,0.143,92.1
Jackson Merrill,701538,10,2024–2025,0.5,1,0.479,0.455,0.227,90.8
Gavin Sheets,657757,5,2023–2025,0.2,0,0.423,0.6,0.154,93.6
Jake Cronenworth,630105,19,2022–2025,0.211,1,0.39,0.35,0.167,83.4
Fernando Tatis Jr.,665487,13,2023–2025,0.308,0,0.357,0.75,0.238,98.8
Freddy Fermin,666023,6,2024–2025,0.167,0,0.298,0.8,0.071,97.6
Nick Castellanos,592206,6,2023–2024,0.167,0,0.29,0.5,0.304,86.9
Luis Campusano,669134,5,2023–2024,0.2,0,0.286,0.5,0.231,89.0
Manny Machado,592518,18,2022–2025,0.222,0,0.27,0.421,0.217,90.0
Ramón Laureano,657656,5,2023–2025,0.2,0,0.17,0.5,0.308,98.4
Miguel Andujar,609280,3,2024–2025,0.0,0,,0.333,0.286,92.8
