batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Carter Jensen,695600,2,2025,0.5,1,0.58,1.0,0.5,103.4
Salvador Perez,521692,16,2021–2025,0.375,1,0.441,0.467,0.34,96.9
Bobby Witt Jr.,677951,12,2022–2025,0.417,1,0.384,0.125,0.214,87.0
Vinnie Pasquantino,686469,8,2022–2025,0.25,1,0.359,0.429,0.188,93.9
Jac Caglianone,695506,5,2025,0.2,0,0.285,0.667,0.333,94.2
Maikel Garcia,672580,11,2023–2025,0.182,0,0.27,0.417,0.179,97.4
Kyle Isbel,664728,14,2021–2025,0.286,1,0.19,0.167,0.333,77.8
Lane Thomas,657041,3,2023,0.333,0,0.187,0.0,0.167,64.6
Michael Massey,686681,8,2023–2024,0.125,0,0.164,0.25,0.3,82.4
Starling Marte,516782,3,2021,0.0,0,0.129,0.5,0.375,96.8
Isaac Collins,686555,2,2025,0.0,0,0.006,0.0,0.0,88.1
Nick Loftin,679845,3,2023–2024,0.0,0,,0.0,0.0,
