batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Austin Slater,596103,1,2019,1.0,1,0.549,1.0,0.0,97.8
Tyrone Taylor,621438,14,2022–2025,0.357,1,0.396,0.545,0.13,91.7
Bo Bichette,666182,11,2022–2026,0.455,0,0.337,0.444,0.136,87.3
Juan Soto,665742,20,2018–2025,0.3,0,0.313,0.407,0.283,89.8
Brett Baty,683146,10,2023–2026,0.2,1,0.233,0.5,0.368,91.6
Mark Vientos,668901,5,2024–2025,0.0,0,0.198,0.25,0.286,83.1
Luis Torrens,620443,4,2025,0.0,0,0.106,0.333,0.0,81.0
Francisco Alvarez,682626,2,2023,0.0,0,0.098,0.0,0.5,60.4
MJ Melendez,669004,5,2023–2024,0.2,0,0.08,0.25,0.0,85.9
Eric Wagaman,676572,2,2025,1.0,0,,0.5,0.0,86.7
Ronny Mauricio,677595,2,2026,0.0,0,,,0.4,
