batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Colton Cowser,681297,2,2026,0.0,0,0.657,1.0,0.6,106.3
Tyler O'Neill,641933,3,2024–2026,0.333,0,0.352,0.333,0.2,89.5
Sam Huff,669087,2,2026,0.5,0,0.348,1.0,0.0,101.6
Taylor Ward,621493,20,2021–2026,0.25,0,0.329,0.368,0.216,87.9
Pete Alonso,624413,9,2023–2026,0.222,0,0.281,0.286,0.353,90.3
Leody Taveras,665750,15,2022–2026,0.133,2,0.278,0.6,0.377,92.3
Jackson Holliday,702616,5,2025–2026,0.0,0,0.223,0.75,0.222,91.8
Gunnar Henderson,683002,11,2023–2026,0.091,0,0.222,0.333,0.345,92.4
Adley Rutschman,668939,8,2023–2025,0.0,0,0.175,0.167,0.167,78.7
Coby Mayo,691723,5,2025–2026,0.2,0,0.155,0.333,0.375,80.9
