batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Spencer Steer,668715,5,2025–2026,0.6,1,0.654,0.6,0.1,88.7
Jose Trevino,624431,6,2019–2026,0.333,0,0.475,0.286,0.091,79.6
Tyler Stephenson,663886,7,2021–2026,0.571,1,0.357,0.4,0.136,99.8
Ke'Bryan Hayes,663647,6,2021–2025,0.5,0,0.323,0.667,0.071,94.2
Elly De La Cruz,682829,4,2025–2026,0.25,0,0.284,0.5,0.0,92.2
Eugenio Suárez,553993,10,2018–2026,0.1,0,0.233,0.5,0.423,88.9
Nathaniel Lowe,663993,9,2022–2025,0.111,0,0.191,0.286,0.133,87.2
TJ Friedl,670770,5,2025,0.4,0,0.15,0.25,0.3,87.0
Edwin Arroyo,695490,1,2025,0.0,0,,0.0,0.0,
JJ Bleday,668709,1,2025,1.0,0,,0.0,0.0,
Noelvi Marte,682622,4,2025–2026,0.0,0,,0.5,0.5,77.8
Sal Stewart,701398,3,2026,0.667,0,,0.667,0.0,96.5
