batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Starling Marte,516782,4,2016–2023,0.25,0,0.592,0.5,0.0,95.7
Salvador Perez,521692,14,2017–2025,0.214,1,0.458,0.533,0.316,92.0
Vinnie Pasquantino,686469,5,2024–2025,0.0,0,0.445,0.6,0.222,91.7
Jac Caglianone,695506,3,2025,0.333,0,0.417,0.667,0.0,99.4
Maikel Garcia,672580,8,2023–2025,0.5,0,0.393,0.5,0.059,95.6
Michael Massey,686681,5,2023–2025,0.8,1,0.367,0.4,0.154,92.9
Lane Thomas,657041,8,2023–2024,0.125,0,0.304,0.25,0.062,81.8
Kyle Isbel,664728,8,2022–2025,0.125,0,0.29,0.571,0.077,89.2
Bobby Witt Jr.,677951,9,2023–2025,0.222,0,0.231,0.333,0.05,84.1
Nick Loftin,679845,5,2025,0.2,0,0.2,0.5,0.143,92.8
Elias Díaz,553869,6,2024–2025,0.167,0,0.179,0.4,0.125,84.2
