batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Vinnie Pasquantino,686469,3,2024–2025,0.333,0,0.551,0.75,0.0,95.2
Kyle Isbel,664728,4,2024–2025,0.5,0,0.443,0.0,0.0,84.6
Salvador Perez,521692,12,2015–2025,0.5,1,0.318,0.4,0.118,94.4
Maikel Garcia,672580,4,2024–2025,0.0,0,0.254,0.25,0.286,78.4
Starling Marte,516782,8,2019–2023,0.125,0,0.244,0.333,0.105,84.3
Michael Massey,686681,3,2024,0.0,0,0.234,0.0,0.167,92.8
Lane Thomas,657041,8,2022–2023,0.0,0,0.159,0.2,0.333,79.1
Bobby Witt Jr.,677951,5,2024–2025,0.2,0,0.127,0.333,0.3,94.6
Elias Díaz,553869,4,2020–2022,0.0,0,0.023,0.25,0.0,79.3
