batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Kyle Schwarber,656941,1,2025,0.0,0,0.482,0.0,0.111,76.0
Edmundo Sosa,624641,3,2025,0.333,0,0.361,0.0,0.0,77.5
Alec Bohm,664761,3,2025,0.667,0,0.322,0.333,0.0,91.2
Trea Turner,607208,3,2025,0.333,0,0.277,0.333,0.167,89.7
Bryce Harper,547180,4,2019–2021,0.25,0,0.23,0.5,0.5,81.9
J.T. Realmuto,592663,8,2017–2025,0.125,0,0.201,0.0,0.286,80.0
Adolis García,666969,5,2022–2024,0.0,0,0.045,0.0,0.4,83.4
Dylan Moore,664238,2,2025,0.0,0,0.012,0.0,0.333,46.8
