batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Vinnie Pasquantino,686469,7,2023–2024,0.429,2,0.663,0.571,0.4,98.1
Maikel Garcia,672580,6,2024–2025,0.5,1,0.49,0.4,0.182,91.2
Starling Marte,516782,2,2021,0.5,0,0.396,0.5,0.222,79.4
Bobby Witt Jr.,677951,8,2022–2024,0.125,1,0.389,0.429,0.111,89.5
Michael Massey,686681,7,2023–2024,0.286,0,0.367,0.25,0.182,81.1
Salvador Perez,521692,5,2022–2024,0.2,0,0.365,0.25,0.4,85.8
Kyle Isbel,664728,3,2023–2024,0.0,0,0.1,0.5,0.5,97.4
Nick Loftin,679845,2,2025,0.0,0,0.086,0.0,0.0,91.8
Elias Díaz,553869,2,2023,0.5,1,,0.5,0.0,93.4
