batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Gary Sánchez,596142,3,2024–2026,0.333,0,0.444,0.333,0.2,94.8
Joey Ortiz,687401,5,2024–2026,0.2,1,0.414,0.6,0.0,90.9
Blake Perkins,663368,2,2024–2026,0.0,0,0.387,0.0,0.0,93.1
Sal Frelick,686217,5,2024–2025,0.4,0,0.371,0.2,0.0,94.8
Andrew Vaughn,683734,11,2023–2026,0.182,0,0.309,0.556,0.292,94.1
Brice Turang,668930,4,2025–2026,0.25,0,0.306,1.0,0.25,99.6
Jackson Chourio,694192,9,2024–2026,0.333,0,0.282,0.375,0.062,88.3
David Hamilton,666152,2,2024,0.0,0,0.256,1.0,0.333,99.4
William Contreras,661388,7,2024–2026,0.143,0,0.223,0.4,0.294,92.8
Christian Yelich,592885,11,2022–2025,0.0,0,0.189,0.375,0.318,89.5
Jake Bauers,641343,2,2026,0.0,0,0.0,,0.667,
Cooper Pratt,806198,1,2026,0.0,0,,0.0,0.0,
