batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Tyler Freeman,671289,1,2025,1.0,0,0.786,0.0,0.0,94.7
Ezequiel Tovar,678662,4,2023–2025,0.25,1,0.702,0.5,0.154,97.0
Edouard Julien,666397,2,2023,0.0,0,0.519,0.5,0.0,94.1
Willi Castro,650489,1,2023,0.0,0,0.348,,0.2,
Hunter Goodman,696100,6,2025,0.167,0,0.343,0.5,0.25,96.0
Jordan Beck,687597,5,2025,0.0,0,0.169,0.0,0.455,75.0
Mickey Moniak,666160,7,2023–2025,0.143,1,0.156,0.25,0.4,82.2
Troy Johnston,687859,2,2025,0.0,0,0.126,0.0,0.75,92.8
Brenton Doyle,686668,4,2025,0.0,0,0.095,0.5,0.4,95.2
Jake McCarthy,664983,3,2023,0.333,0,0.063,0.0,0.25,88.8
