batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Sebastián Rivero,665861,1,2025,0.0,0,0.566,1.0,0.0,97.2
Travis d'Arnaud,518595,11,2017–2026,0.182,1,0.479,0.333,0.24,90.1
Vaughn Grissom,687093,3,2026,0.333,1,0.459,0.667,0.0,96.5
Jorge Soler,624585,9,2021–2026,0.222,1,0.416,0.375,0.231,90.7
Jo Adell,666176,3,2026,0.333,0,0.369,0.5,0.286,86.0
Yoán Moncada,660162,3,2026,0.0,0,0.362,1.0,0.143,108.1
Bryce Teodosio,669326,1,2025,0.0,0,0.33,0.0,0.0,77.2
Adam Frazier,624428,10,2022–2026,0.3,0,0.232,0.231,0.111,81.5
Mike Trout,545361,6,2022–2026,0.167,1,0.199,0.5,0.455,90.8
Josh Lowe,666139,5,2024–2026,0.2,0,0.185,0.333,0.3,96.9
Zach Neto,687263,4,2024–2026,0.25,0,0.118,0.0,0.143,62.7
Oswald Peraza,672724,1,2025,0.0,0,0.039,0.0,0.0,77.6
Nolan Schanuel,694384,2,2024,0.5,0,,0.0,0.0,
