batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Seiya Suzuki,673548,9,2022–2025,0.333,1,0.617,0.545,0.091,93.3
Michael Busch,683737,2,2025,0.5,0,0.56,0.0,0.5,87.9
Alex Bregman,608324,1,2019,0.0,0,0.489,0.0,0.0,79.9
Dansby Swanson,621020,14,2019–2025,0.357,1,0.438,0.533,0.27,95.6
Matt Shaw,807713,1,2025,0.0,0,0.354,0.0,0.333,84.9
Ian Happ,664023,22,2018–2025,0.455,4,0.35,0.481,0.34,89.8
Carson Kelly,608348,4,2022–2025,0.25,0,0.308,0.0,0.0,89.1
Michael Conforto,624424,5,2019–2021,0.4,0,0.297,0.2,0.176,77.5
Nico Hoerner,663538,13,2020–2025,0.077,0,0.253,0.438,0.106,85.2
Pete Crow-Armstrong,691718,2,2025,0.0,0,0.004,0.0,0.333,90.9
Miguel Amaya,665804,2,2023,0.0,0,0.0,,0.5,
