batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Brice Turang,668930,5,2025–2026,0.2,1,0.648,0.8,0.0,95.0
Andrew Vaughn,683734,5,2023–2025,0.4,1,0.441,0.6,0.0,98.3
Jackson Chourio,694192,2,2025,0.0,0,0.418,1.0,0.5,103.4
Garrett Mitchell,669003,4,2022–2026,0.5,0,0.404,0.667,0.5,97.8
Joey Ortiz,687401,2,2025–2026,0.5,0,0.366,0.0,0.143,79.4
Sal Frelick,686217,3,2025–2026,0.0,0,0.281,0.333,0.0,89.0
William Contreras,661388,8,2021–2026,0.125,0,0.274,0.625,0.222,93.9
Gary Sánchez,596142,14,2018–2026,0.143,0,0.228,0.273,0.318,86.0
Christian Yelich,592885,9,2017–2025,0.222,0,0.22,0.143,0.333,79.6
Jake Bauers,641343,13,2019–2026,0.0,0,0.126,0.25,0.214,80.9
