batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Ronald Acuña Jr.,660670,17,2018–2025,0.235,0,0.388,0.565,0.109,94.3
Ozzie Albies,645277,24,2018–2025,0.292,2,0.38,0.407,0.206,89.6
Austin Riley,663586,19,2021–2025,0.211,0,0.363,0.455,0.246,93.2
Jorge Mateo,622761,4,2022–2024,0.0,0,0.296,0.333,0.143,71.3
Matt Olson,621566,18,2022–2025,0.222,0,0.289,0.435,0.257,88.0
Dominic Smith,642086,10,2019–2023,0.3,0,0.247,0.429,0.286,87.1
Ha-Seong Kim,673490,12,2021–2024,0.167,0,0.23,0.1,0.125,81.4
Mike Yastrzemski,573262,3,2019–2021,0.333,0,0.216,0.0,0.25,77.7
Sandy León,506702,3,2021,0.0,0,0.153,0.0,0.5,71.4
Michael Harris II,671739,18,2022–2025,0.167,0,0.152,0.05,0.149,72.4
Chadwick Tromp,644433,2,2024,0.0,0,0.072,0.0,0.5,91.7
Eli White,642201,8,2022–2025,0.125,0,0.067,0.0,0.125,59.7
Mauricio Dubón,643289,3,2025,0.0,0,0.021,0.0,0.333,75.2
