batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Ozzie Albies,645277,6,2024–2025,0.5,2,0.646,0.5,0.263,94.1
Drake Baldwin,686948,3,2025,0.333,0,0.488,0.667,0.0,95.3
Matt Olson,621566,8,2024–2025,0.5,0,0.472,0.5,0.273,95.6
José Azocar,640492,3,2024,0.667,0,0.262,0.333,0.1,84.5
Ha-Seong Kim,673490,7,2024–2025,0.143,0,0.253,0.571,0.077,91.4
Jorge Mateo,622761,3,2024,0.0,0,0.191,0.5,0.4,87.4
Michael Harris II,671739,5,2024–2025,0.0,0,0.182,0.4,0.308,83.1
Mike Yastrzemski,573262,1,2025,0.0,0,,0.0,0.0,
