batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Michael Conforto,624424,18,2019–2025,0.222,0,0.39,0.524,0.244,92.5
Michael Busch,683737,9,2023–2025,0.444,1,0.382,0.5,0.211,90.8
Matt Shaw,807713,1,2025,0.0,0,0.346,,1.0,
Ian Happ,664023,14,2021–2025,0.214,1,0.319,0.333,0.227,85.0
Pete Crow-Armstrong,691718,6,2024–2025,0.0,0,0.303,0.6,0.167,90.0
Dansby Swanson,621020,12,2021–2025,0.25,0,0.292,0.4,0.316,92.1
Nico Hoerner,663538,13,2021–2025,0.154,0,0.29,0.455,0.174,92.3
Seiya Suzuki,673548,14,2022–2025,0.214,1,0.256,0.444,0.214,90.7
Alex Bregman,608324,14,2020–2023,0.286,0,0.249,0.7,0.12,94.8
Miguel Amaya,665804,7,2023–2025,0.286,0,0.204,0.333,0.188,92.0
Carson Kelly,608348,3,2024,0.333,0,0.148,0.0,0.167,84.2
Nicky Lopez,670032,5,2022–2023,0.0,0,0.074,0.0,0.091,72.8
