batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Josh Rojas,668942,1,2024,0.0,0,0.399,0.0,0.0,60.5
Nick Loftin,679845,7,2023–2026,0.286,0,0.384,0.5,0.471,88.0
Salvador Perez,521692,42,2020–2026,0.286,4,0.362,0.483,0.316,89.9
Michael Massey,686681,5,2025–2026,0.4,0,0.355,0.25,0.333,84.9
Luke Maile,571912,5,2022–2025,0.2,0,0.253,0.75,0.143,97.2
Starling Marte,516782,6,2021–2026,0.333,0,0.249,0.2,0.455,86.8
Bobby Witt Jr.,677951,33,2022–2025,0.121,0,0.247,0.154,0.211,85.7
Kyle Isbel,664728,5,2022–2024,0.2,0,0.14,0.0,0.167,74.3
Isaac Collins,686555,6,2025–2026,0.167,0,0.125,0.0,0.417,83.1
Tyler Tolbert,686475,4,2025–2026,0.0,0,0.123,0.2,0.143,79.9
Carter Jensen,695600,4,2026,0.0,0,0.079,1.0,0.778,102.1
