batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Bryson Stott,681082,1,2024,1.0,0,0.728,1.0,0.0,101.9
Kyle Schwarber,656941,5,2022–2024,0.4,1,0.561,0.75,0.154,100.2
Bryce Harper,547180,7,2021–2024,0.571,1,0.499,0.429,0.267,91.6
Dylan Moore,664238,5,2020–2025,0.2,0,0.368,0.667,0.36,101.9
Garrett Stubbs,596117,3,2022,0.0,0,0.327,0.5,0.2,96.2
Brandon Marsh,669016,2,2024,0.0,0,0.24,1.0,0.333,97.0
Adolis García,666969,8,2020–2024,0.125,0,0.233,0.4,0.273,92.8
Trea Turner,607208,12,2021–2022,0.167,0,0.21,0.25,0.31,80.3
Alec Bohm,664761,6,2021–2024,0.0,0,0.194,0.333,0.231,93.2
Edmundo Sosa,624641,2,2024,0.5,0,0.071,0.0,0.25,48.6
