batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Bryce Harper,547180,6,2019–2025,0.667,1,0.643,0.833,0.211,102.9
Edmundo Sosa,624641,2,2021,0.5,0,0.546,0.5,0.333,87.6
Bryson Stott,681082,4,2022–2025,0.5,0,0.443,0.5,0.0,91.6
Adolis García,666969,7,2021–2025,0.286,1,0.439,0.714,0.111,96.6
Kyle Schwarber,656941,9,2018–2025,0.222,1,0.431,0.75,0.182,99.6
Brandon Marsh,669016,5,2021–2025,0.4,0,0.383,0.75,0.333,96.4
Alec Bohm,664761,3,2022,0.667,0,0.353,0.667,0.0,92.7
Otto Kemp,805249,3,2025,0.0,0,0.241,0.0,0.0,77.7
J.T. Realmuto,592663,13,2018–2025,0.231,0,0.211,0.308,0.077,84.0
Trea Turner,607208,13,2017–2025,0.0,0,0.196,0.091,0.263,84.4
