batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
José Ramírez,608070,1,2023,0.0,0,0.512,0.0,0.0,92.3
Travis Bazzana,683953,8,2026,0.375,0,0.443,0.375,0.125,90.0
Angel Genao,694197,1,2026,0.0,0,0.435,1.0,0.667,104.3
Brayan Rocchio,677587,7,2026,0.429,0,0.428,0.5,0.083,82.7
Austin Hedges,595978,4,2026,0.0,0,0.398,0.75,0.2,81.8
Angel Martínez,682657,3,2026,0.667,0,0.219,0.0,0.5,69.0
David Fry,681807,4,2026,0.0,0,0.213,0.333,0.167,67.7
Petey Halpin,690984,2,2026,0.0,0,0.128,0.0,0.333,59.8
Chase DeLauter,800050,5,2026,0.2,0,0.11,0.2,0.111,85.9
Jo Adell,666176,7,2026,0.143,1,0.098,0.4,0.333,94.7
Steven Kwan,680757,3,2026,0.0,0,0.056,0.0,0.286,52.3
