batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Liam Hicks,689414,1,2025,1.0,0,0.786,1.0,0.0,104.7
Cedric Mullins,656775,3,2024–2026,0.333,0,0.358,0.667,0.0,97.3
Jonathan Aranda,666018,5,2025–2026,0.2,0,0.268,0.6,0.143,96.2
Junior Caminero,691406,7,2025–2026,0.429,0,0.265,1.0,0.429,106.4
Yandy Díaz,650490,14,2023–2026,0.286,0,0.262,0.357,0.042,87.2
Taylor Walls,670764,2,2025–2026,0.5,0,0.25,0.0,0.375,45.4
Richie Palacios,680700,6,2024–2026,0.333,0,0.247,0.667,0.333,99.0
Chandler Simpson,802415,5,2025–2026,0.4,0,0.228,0.0,0.0,78.1
Victor Mesa Jr.,683748,2,2026,0.0,0,0.123,0.0,0.5,56.0
Jonny DeLuca,676356,2,2025,0.0,0,0.016,0.0,0.5,90.3
