batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Noelvi Marte,682622,0,2025,,0,0.691,,0.0,
JJ Bleday,668709,1,2026,0.0,0,0.628,0.5,0.5,88.4
Tyler Stephenson,663886,5,2021–2026,0.6,0,0.624,0.8,0.25,94.5
Sal Stewart,701398,2,2026,0.5,0,0.417,0.5,0.286,93.1
Spencer Steer,668715,4,2025–2026,0.5,0,0.38,0.0,0.143,86.7
Elly De La Cruz,682829,4,2025–2026,0.25,0,0.301,1.0,0.4,105.4
Jose Trevino,624431,6,2019–2024,0.167,0,0.3,0.2,0.143,83.3
Eugenio Suárez,553993,7,2021–2025,0.143,0,0.267,0.6,0.308,94.9
TJ Friedl,670770,2,2025,0.5,0,0.18,0.0,0.0,51.9
Matt McLain,680574,4,2025–2026,0.0,0,0.16,0.0,0.25,80.2
Nathaniel Lowe,663993,6,2021–2025,0.0,0,0.007,0.0,0.545,87.8
