batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Victor Robles,645302,2,2026,0.5,0,0.54,0.0,0.25,86.3
Julio Rodríguez,677594,4,2022–2025,0.25,0,0.463,0.333,0.222,87.2
Cole Young,702284,3,2025–2026,0.333,0,0.345,0.0,0.5,94.5
Randy Arozarena,668227,15,2022–2026,0.2,2,0.329,0.556,0.333,95.0
Patrick Wisdom,621550,5,2021–2022,0.0,0,0.318,0.0,0.7,71.0
J.P. Crawford,641487,10,2019–2026,0.3,0,0.192,0.143,0.324,76.6
Josh Naylor,647304,28,2021–2026,0.25,0,0.182,0.217,0.155,81.8
Taylor Ward,621493,12,2022–2025,0.167,0,0.181,0.125,0.227,88.2
Cal Raleigh,663728,8,2022–2026,0.0,0,0.145,0.5,0.316,90.3
Dominic Canzone,686527,7,2024–2026,0.143,0,0.043,0.0,0.438,91.7
