batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Austin Hays,669720,3,2023,0.333,0,0.414,0.5,0.5,98.2
Sung-Mun Song,823550,3,2026,0.333,0,0.406,0.333,0.25,85.5
Jackson Merrill,701538,18,2024–2026,0.611,0,0.375,0.615,0.22,92.9
Luis Campusano,669134,7,2024–2026,0.286,0,0.372,0.143,0.143,81.2
Manny Machado,592518,46,2019–2026,0.283,1,0.364,0.556,0.301,93.2
Jake Cronenworth,630105,37,2020–2026,0.27,0,0.313,0.357,0.1,91.6
Fernando Tatis Jr.,665487,38,2020–2026,0.237,1,0.296,0.345,0.141,87.7
Xander Bogaerts,593428,32,2019–2026,0.219,1,0.289,0.346,0.135,84.1
Freddy Fermin,666023,7,2025–2026,0.143,1,0.279,0.571,0.125,92.5
Mason McCoy,669200,5,2023–2026,0.2,0,0.127,0.5,0.222,79.3
Jase Bowen,687749,1,2026,0.0,0,,1.0,0.0,105.0
