batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Nolan Arenado,571448,22,2015–2025,0.5,4,0.592,0.632,0.147,96.7
Gabriel Moreno,672515,4,2022–2023,0.25,0,0.465,0.75,0.0,97.5
Geraldo Perdomo,672695,5,2023–2025,0.6,0,0.438,0.2,0.0,86.7
James McCann,543510,2,2025,0.5,0,0.432,0.5,0.5,86.4
Lars Nootbaar,663457,11,2023–2025,0.364,1,0.427,0.5,0.2,90.8
Lourdes Gurriel Jr.,666971,19,2021–2025,0.316,0,0.258,0.769,0.195,95.8
Ketel Marte,606466,7,2018–2024,0.143,0,0.225,0.571,0.077,94.4
Corbin Carroll,682998,11,2023–2025,0.0,0,0.096,0.25,0.318,88.3
Ildemaro Vargas,545121,2,2026,0.5,0,,0.0,0.6,94.3
Tommy Troy,694371,1,2026,0.0,0,,,0.5,
