batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Corbin Carroll,682998,6,2023–2025,0.5,0,0.574,0.8,0.125,99.2
James McCann,543510,1,2024,0.0,0,0.345,,0.4,
Max Kepler,596146,17,2023–2025,0.176,0,0.26,0.417,0.308,90.7
Geraldo Perdomo,672695,11,2023–2026,0.273,0,0.212,0.25,0.111,80.9
Nolan Arenado,571448,2,2023,0.0,0,0.13,0.5,0.2,92.6
Gabriel Moreno,672515,7,2023–2026,0.0,0,0.071,0.167,0.188,87.7
Ketel Marte,606466,6,2024–2025,0.0,0,0.004,0.75,0.0,99.6
Adrian Del Castillo,680728,1,2025,0.0,0,,,1.0,
Ildemaro Vargas,545121,3,2025–2026,0.333,0,,0.333,0.0,81.1
Ryan Waldschmidt,814439,1,2025,0.0,0,,0.0,0.333,92.9
Tim Tawa,694374,1,2026,0.0,0,,0.0,0.0,74.3
