batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Nico Hoerner,663538,5,2022–2025,0.4,0,0.604,0.167,0.0,83.9
Dansby Swanson,621020,13,2016–2025,0.154,1,0.403,0.583,0.231,95.3
Seiya Suzuki,673548,4,2025–2026,0.25,0,0.38,0.667,0.0,91.4
Alex Bregman,608324,10,2018–2026,0.2,0,0.361,0.3,0.103,91.7
Ian Happ,664023,7,2018–2025,0.143,0,0.202,0.167,0.267,83.3
Michael Conforto,624424,5,2017–2020,0.2,0,0.103,0.0,0.636,89.6
Carson Kelly,608348,3,2025,0.0,0,0.036,0.0,0.4,87.1
Pete Crow-Armstrong,691718,2,2025,0.5,0,0.004,1.0,0.429,96.1
