batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Justin Foscue,679822,6,2026,0.333,1,0.507,0.75,0.364,101.1
Jake Burger,669394,9,2023–2026,0.222,1,0.428,0.8,0.292,104.2
Brandon Nimmo,607043,5,2025–2026,0.4,1,0.422,0.667,0.333,98.3
Cam Cauley,695508,2,2026,0.5,0,0.382,0.0,0.5,91.2
Corey Seager,608369,20,2021–2025,0.25,1,0.367,0.286,0.42,83.6
Ezequiel Duran,677649,23,2022–2026,0.087,1,0.189,0.231,0.299,83.4
Wyatt Langford,694671,9,2024–2026,0.111,1,0.075,0.2,0.214,93.9
Austin Wynns,642851,1,2025,0.0,0,0.0,,0.333,
Jonah Bride,681146,1,2025,0.0,0,0.0,,1.0,
Elias Díaz,553869,2,2023,0.5,1,,0.5,0.0,93.4
Evan Carter,694497,2,2025,0.0,0,,0.0,0.5,
