batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Jac Caglianone,695506,2,2025,0.5,0,0.533,0.0,0.143,85.9
Bobby Witt Jr.,677951,3,2025,0.0,0,0.512,0.667,0.0,91.7
John Rave,670231,3,2025,0.333,1,0.497,0.333,0.0,81.0
Luke Maile,571912,2,2021,0.5,0,0.495,0.0,0.0,91.1
Salvador Perez,521692,3,2025,0.667,0,0.385,0.333,0.143,83.9
Josh Rojas,668942,11,2019–2025,0.091,1,0.351,0.5,0.312,87.0
Isaac Collins,686555,3,2025,0.333,0,0.311,0.333,0.0,84.1
Nick Loftin,679845,3,2025,0.333,0,0.296,0.333,0.125,96.7
Vinnie Pasquantino,686469,2,2025,0.0,0,0.265,0.0,0.333,73.2
Kyle Isbel,664728,2,2025,0.5,0,0.242,0.5,0.0,78.2
Matthew Lugo,683090,2,2025,0.0,0,0.011,0.0,0.667,80.6
