batter_name,batter_id,abs,seasons,batting_avg,home_runs,xwoba,hard_hit_pct,whiff_pct,avg_exit_velo
Sandy León,506702,2,2021,1.0,0,0.738,0.5,0.0,90.8
Dominic Smith,642086,5,2025,0.2,0,0.475,0.6,0.0,95.6
Ozzie Albies,645277,14,2018–2024,0.429,0,0.421,0.438,0.075,92.2
Matt Olson,621566,13,2019–2024,0.231,0,0.351,0.4,0.3,97.6
Mike Yastrzemski,573262,6,2019–2025,0.333,0,0.325,0.2,0.1,90.7
Austin Riley,663586,15,2019–2024,0.4,0,0.323,0.312,0.167,83.2
Michael Harris II,671739,8,2023–2024,0.375,0,0.276,0.286,0.133,92.5
Jorge Mateo,622761,3,2021–2025,0.333,0,0.247,0.0,0.429,69.7
Rowdy Tellez,642133,6,2024–2025,0.0,0,0.216,0.4,0.333,97.1
Ha-Seong Kim,673490,4,2021–2024,0.0,0,0.183,0.2,0.0,83.3
Mauricio Dubón,643289,3,2021–2024,0.0,0,0.066,0.0,0.071,91.0
